,date,Temperature,Humidity,Light,CO2,HumidityRatio
1,04/02/2015 17:51,23.18,27.272,426,721.25,0.004792988
2,04/02/2015 17:51,23.15,27.2675,429.5,714,0.004783441
3,04/02/2015 17:53,23.15,27.245,426,713.5,0.004779464
4,04/02/2015 17:54,23.15,27.2,426,708.25,0.004771509
5,04/02/2015 17:55,23.1,27.2,426,704.5,0.004756993
6,04/02/2015 17:55,23.1,27.2,419,701,0.004756993
7,04/02/2015 17:57,23.1,27.2,419,701.6666667,0.004756993
8,04/02/2015 17:57,23.1,27.2,419,699,0.004756993
9,04/02/2015 17:58,23.1,27.2,419,689.3333333,0.004756993
10,04/02/2015 18:00,23.075,27.175,419,688,0.004745351
11,04/02/2015 18:01,23.075,27.15,419,690.25,0.004740952
12,04/02/2015 18:02,23.1,27.1,419,691,0.004739371
13,04/02/2015 18:03,23.1,27.16666667,419,683.5,0.004751119
14,04/02/2015 18:04,23.05,27.15,419,687.5,0.004733732
15,04/02/2015 18:04,23,27.125,419,686,0.004714942
16,04/02/2015 18:06,23,27.125,418.5,680.5,0.004714942
17,04/02/2015 18:07,23,27.2,0,681.5,0.004728078
18,04/02/2015 18:08,22.945,27.29,0,685,0.004727951
19,04/02/2015 18:08,22.945,27.39,0,685,0.004745408
20,04/02/2015 18:10,22.89,27.39,0,689,0.004729506
21,04/02/2015 18:10,22.89,27.39,0,689.5,0.004729506
22,04/02/2015 18:11,22.89,27.39,0,689,0.004729506
23,04/02/2015 18:13,22.89,27.445,0,691,0.004739076
24,04/02/2015 18:14,22.89,27.5,0,688,0.004748645
25,04/02/2015 18:15,22.89,27.5,0,689.5,0.004748645
26,04/02/2015 18:16,22.79,27.445,0,689,0.004710224
27,04/02/2015 18:16,22.79,27.5,0,685.6666667,0.004719735
28,04/02/2015 18:17,22.79,27.5,0,687,0.004719735
29,04/02/2015 18:19,22.79,27.5,0,688,0.004719735
30,04/02/2015 18:20,22.745,27.5,0,670,0.004706776
31,04/02/2015 18:21,22.7,27.46333333,0,668.6666667,0.004687543
32,04/02/2015 18:22,22.7,27.5,0,670,0.004693849
33,04/02/2015 18:23,22.7,27.5,0,667,0.004693849
34,04/02/2015 18:23,22.66666667,27.42666667,0,664.5,0.004671708
35,04/02/2015 18:24,22.7,27.6,0,670,0.004711047
36,04/02/2015 18:26,22.6,27.42666667,0,670.3333333,0.004652699
37,04/02/2015 18:27,22.6,27.39,0,672,0.004646433
38,04/02/2015 18:28,22.6,27.35666667,0,658,0.004640736
39,04/02/2015 18:29,22.6,27.445,0,660.5,0.004655833
40,04/02/2015 18:29,22.6,27.42666667,0,658,0.004652699
41,04/02/2015 18:30,22.6,27.445,0,655,0.004655833
42,04/02/2015 18:32,22.6,27.445,0,654.25,0.004655833
43,04/02/2015 18:33,22.6,27.39,0,648,0.004646433
44,04/02/2015 18:34,22.5,27.32333333,0,648.6666667,0.004606763
45,04/02/2015 18:35,22.5,27.445,0,646,0.004627429
46,04/02/2015 18:36,22.5,27.5,0,646,0.004636772
47,04/02/2015 18:36,22.5,27.445,0,641.5,0.004627429
48,04/02/2015 18:38,22.39,27.29,0,639,0.004570212
49,04/02/2015 18:39,22.5,27.5,0,640,0.004636772
50,04/02/2015 18:40,22.39,27.34,0,630.5,0.004578647
51,04/02/2015 18:40,22.39,27.35666667,0,629.3333333,0.004581459
52,04/02/2015 18:42,22.39,27.5,0,632,0.004605641
53,04/02/2015 18:42,22.39,27.5,0,636.5,0.004605641
54,04/02/2015 18:43,22.39,27.5,0,627.5,0.004605641
55,04/02/2015 18:45,22.39,27.39,0,626,0.004587082
56,04/02/2015 18:46,22.39,27.5,0,625.5,0.004605641
57,04/02/2015 18:47,22.34,27.39,0,623.5,0.00457305
58,04/02/2015 18:48,22.39,27.46333333,0,624.6666667,0.004599455
59,04/02/2015 18:49,22.39,27.39,0,622,0.004587082
60,04/02/2015 18:49,22.29,27.39,0,621,0.004559056
61,04/02/2015 18:51,22.34,27.39,0,626.5,0.00457305
62,04/02/2015 18:52,22.29,27.39,0,622,0.004559056
63,04/02/2015 18:53,22.39,27.39,0,620,0.004587082
64,04/02/2015 18:53,22.29,27.39,0,621.5,0.004559056
65,04/02/2015 18:55,22.29,27.35666667,0,616.3333333,0.004553467
66,04/02/2015 18:55,22.29,27.34,0,609,0.004550673
67,04/02/2015 18:56,22.29,27.39,0,614,0.004559056
68,04/02/2015 18:58,22.29,27.34,0,613.5,0.004550673
69,04/02/2015 18:59,22.29,27.34,0,611,0.004550673
70,04/02/2015 19:00,22.29,27.39,0,612,0.004559056
71,04/02/2015 19:01,22.29,27.29,0,608,0.00454229
72,04/02/2015 19:01,22.29,27.29,0,605.5,0.00454229
73,04/02/2015 19:02,22.2675,27.315,0,608.5,0.004540214
74,04/02/2015 19:04,22.2,27.29,0,608.5,0.004517288
75,04/02/2015 19:05,22.245,27.29,0,602.5,0.004529774
76,04/02/2015 19:06,22.2,27.29,0,598,0.004517288
77,04/02/2015 19:07,22.2,27.29,0,595,0.004517288
78,04/02/2015 19:08,22.2,27.29,0,591,0.004517288
79,04/02/2015 19:08,22.245,27.245,0,591,0.00452225
80,04/02/2015 19:09,22.2,27.2,0,595,0.004502283
81,04/02/2015 19:11,22.2,27.29,0,594.3333333,0.004517288
82,04/02/2015 19:12,22.2,27.29,0,593.5,0.004517288
83,04/02/2015 19:13,22.2,27.29,0,592,0.004517288
84,04/02/2015 19:14,22.15,27.245,0,586.5,0.004495971
85,04/02/2015 19:14,22.2,27.2,0,586,0.004502283
86,04/02/2015 19:15,22.15,27.245,0,586,0.004495971
87,04/02/2015 19:17,22.2,27.245,0,584.5,0.004509785
88,04/02/2015 19:18,22.1,27.245,0,584.5,0.004482195
89,04/02/2015 19:19,22.1,27.2,0,585.5,0.004474738
90,04/02/2015 19:20,22.13333333,27.2,0,584.6666667,0.004483903
91,04/02/2015 19:21,22.2,27.2,0,577,0.004502283
92,04/02/2015 19:21,22.1,27.2,0,580,0.004474738
93,04/02/2015 19:23,22.125,27.2,0,582,0.00448161
94,04/02/2015 19:24,22.2,27.2,0,580,0.004502283
95,04/02/2015 19:25,22.1,27.15,0,578,0.004466454
96,04/02/2015 19:25,22.1,27.2,0,576.5,0.004474738
97,04/02/2015 19:27,22.1,27.2,0,580,0.004474738
98,04/02/2015 19:27,22.1,27.2,0,572.5,0.004474738
99,04/02/2015 19:28,22.1,27.2,0,567,0.004474738
100,04/02/2015 19:30,22.1,27.2,0,568,0.004474738
101,04/02/2015 19:31,22.1,27.2,0,574.5,0.004474738
102,04/02/2015 19:32,22.1,27.2,0,564.3333333,0.004474738
103,04/02/2015 19:33,22.1,27.2,0,563,0.004474738
104,04/02/2015 19:34,22.1,27.15,0,564.5,0.004466454
105,04/02/2015 19:34,22.06666667,27.16666667,0,566.3333333,0.004460078
106,04/02/2015 19:36,22.1,27.1,0,562,0.004458169
107,04/02/2015 19:37,22,27.1,0,565.5,0.004430876
108,04/02/2015 19:38,22,27.1,0,570,0.004430876
109,04/02/2015 19:38,22.05,27.15,0,562,0.004452763
110,04/02/2015 19:40,22,27.1,0,560,0.004430876
111,04/02/2015 19:40,22,27.1,0,558,0.004430876
112,04/02/2015 19:41,22,27.1,0,556,0.004430876
113,04/02/2015 19:43,22,27.1,0,557,0.004430876
114,04/02/2015 19:44,21.9175,27.1,0,556.5,0.004408469
115,04/02/2015 19:45,21.945,27.1,0,557.5,0.004415927
116,04/02/2015 19:46,21.92666667,27.1,0,555,0.004410954
117,04/02/2015 19:46,21.89,27.1,0,555,0.004401023
118,04/02/2015 19:47,21.89,27.1,0,553,0.004401023
119,04/02/2015 19:49,21.89,27.1,0,549.5,0.004401023
120,04/02/2015 19:50,21.89,27.1,0,548.5,0.004401023
121,04/02/2015 19:51,21.89,27.1,0,551.5,0.004401023
122,04/02/2015 19:52,21.89,27.1,0,548.5,0.004401023
123,04/02/2015 19:53,21.89,27.1,0,548,0.004401023
124,04/02/2015 19:53,21.89,27.1,0,547.5,0.004401023
125,04/02/2015 19:54,21.89,27.1,0,553,0.004401023
126,04/02/2015 19:56,21.84,27.1,0,547.5,0.004387512
127,04/02/2015 19:57,21.85666667,27.1,0,548.6666667,0.004392012
128,04/02/2015 19:58,21.79,27.1,0,540,0.004374038
129,04/02/2015 19:59,21.79,27.1,0,538,0.004374038
130,04/02/2015 19:59,21.79,27.1,0,542,0.004374038
131,04/02/2015 20:00,21.79,27.1,0,542,0.004374038
132,04/02/2015 20:02,21.79,27.1,0,538,0.004374038
133,04/02/2015 20:03,21.79,27.1,0,537.6666667,0.004374038
134,04/02/2015 20:04,21.79,27.1,0,537.5,0.004374038
135,04/02/2015 20:05,21.79,27.1,0,536,0.004374038
136,04/02/2015 20:06,21.745,27.1,0,534.5,0.004361943
137,04/02/2015 20:06,21.7,27.1,0,532.5,0.004349877
138,04/02/2015 20:08,21.76,27.1,0,530,0.004365971
139,04/02/2015 20:09,21.745,27.05,0,529.5,0.004353839
140,04/02/2015 20:10,21.79,27.05,0,531,0.004365912
141,04/02/2015 20:10,21.73,27,0,533.3333333,0.004341725
